area_brdu,area_dapi,percent_div,time,date,well
549.885,6686.062000000001,8.224347904641027,24,220609,0
2200.063,10851.068,20.27508260016433,24,220609,1
875.315,5472.748,15.994067331439346,24,220609,2
7914.804999999999,27635.303,28.640196201214074,24,220609,3
11151.891,46624.988,23.918271035265477,24,220609,4
683.922,9001.679,7.597715937215713,24,220609,5
2721.746,7332.065,37.12113845144581,24,220609,6
6407.315,20414.038,31.38680843055156,24,220609,7
2759.772,14409.891,19.15192835254618,24,220609,8
4667.992,17366.44,26.87938345452493,24,220609,9
4900.472000000001,48628.483,10.07736967653299,24,220609,10
6837.213000000001,21167.462000000003,32.3005800128518,24,220609,11
910.171,5175.414,17.586438495548375,24,220609,12
9590.749,24163.303,39.69138242400056,24,220609,13
3917.524,14767.96,26.52718452650197,24,220609,14
8377.126,37076.17199999999,22.59436599873364,24,220609,15
3127.737,9365.543,33.39621632189399,24,220609,16
7821.33,37772.473,20.70642819706298,24,220609,17
8973.529,49760.328,18.03350050264942,24,220609,18
13825.914,74052.52099999998,18.67041636570348,24,220609,19
8670.403000000002,24743.952,35.04049393564942,24,220609,20
4765.812,15444.333,30.8579982055554,24,220609,21
5772.353000000001,21980.955,26.26070159372057,24,220609,22
4517.353,15363.722,29.4027254593646,24,220609,23
2612.2640000000006,47239.718,5.529804390449581,24,220609,24
346.521,13265.937,2.612111002788571,24,220609,25
7025.924,18315.659,38.36020314638965,24,220609,26
6931.728000000001,28787.02,24.07935243036619,24,220609,27
6552.411,25813.438,25.383720680678028,24,220609,28
5762.525,41473.437,13.89449589143046,24,220609,29
5564.640000000001,13564.754,41.02278596427183,24,220609,30
165.64100000000002,13964.610000000002,1.1861484137401617,24,220609,31
357.01,40452.318,0.882545222748422,24,220609,32
5876.267000000001,30777.246000000003,19.092894146539297,24,221012,0
5806.92,26557.716000000004,21.86528389715441,24,221012,1
11731.332,63572.65600000002,18.45342437792751,24,221012,2
15635.483,72293.74900000001,21.62771085505608,24,221012,3
8416.858999999999,27664.964,30.424254302300916,24,221012,4
4393.784,9043.207,48.58656890193932,24,221012,5
9202.996,60866.09,15.120070962337156,24,221012,6
6780.777,40968.23000000001,16.551305731294708,24,221012,7
12724.956,45475.868,27.98177706030812,24,221012,8
7678.219000000001,46278.669,16.591270159476718,24,221012,9
7696.877,35534.67,21.660189893419584,24,221012,10
5469.451,16787.016,32.58143674849658,24,221012,11
4924.826999999999,35047.574,14.051834229667366,24,221012,12
1603.4,16289.21,9.843325735256652,24,221012,13
1307.125,17929.385000000002,7.2904062241956415,24,221012,14
2721.919,16002.102,17.009759092899166,24,221012,15
5446.812999999999,40852.066000000006,13.333017233449096,24,221012,16
2568.313,22144.718,11.597858234184784,24,221012,17
3962.457,30643.518,12.930816233305848,24,221012,18
5304.585999999999,35745.032,14.840065047360987,24,221012,19
3099.577,34508.57800000001,8.98204788386238,24,221012,20
1620.96,15188.363,10.672381217119977,24,221012,21
2766.309,16064.603,17.219902664261294,24,221012,22
3275.487,31151.151,10.514818537523702,24,221012,23
1927.062,17108.138,11.26400780727862,24,221012,24
6085.75,34975.462,17.400056073598115,24,221012,25
6886.126,39519.098,17.424805596524497,24,221012,26
4582.164999999999,45686.00899999999,10.029689833489286,24,221012,27
3113.378,33517.717,9.288753168958374,24,221012,28
3383.816,36818.71300000001,9.190478765512523,24,221012,29
9527.209,62076.48100000001,15.347533955734376,24,221012,30
2038.817,10299.756,19.79480873139131,24,221012,31
9660.273,37247.171,25.93558850415781,24,221012,32
12266.128,66527.90599999999,18.43756813869957,24,221012,33
3490.157,38903.356,8.971351983103977,24,221012,34
5883.003999999998,12694.037,46.34462622095711,24,221012,35
