x,y,date,hitting,well,type
525.2,218.4,220901,170,3,apc
234.65,221.0,220901,120,4,apc
202.8,299.0,220901,220,5,apc
314.6,219.70000000000002,220901,170,9,apc
265.85,269.1,220901,250,14,apc
396.5,229.45000000000002,220901,230,14,apc
282.1,437.45,220901,130,15,apc
330.2,393.25,220901,130,15,apc
366.6,444.6,220901,130,15,apc
308.1,275.6,220901,180,17,apc
239.20000000000002,309.40000000000003,220901,130,18,apc
349.05,308.1,220901,160,18,apc
302.25,269.75,220901,200,18,apc
382.2,318.5,220901,200,20,apc
182.0,312.65000000000003,220901,210,21,apc
410.8,275.6,220901,90,25,apc
490.1,405.6,220719,175,1,apc
478.40000000000003,391.3,220719,50,10,apc
499.20000000000005,451.1,220719,50,10,apc
156.0,221.0,220719,100,11,apc
240.5,248.3,220719,100,11,apc
195.0,304.2,220719,135,11,apc
530.4,370.5,220719,110,16,apc
481.0,262.6,220719,150,16,apc
585.0,267.8,220719,230,16,apc
176.8,269.1,220719,125,18,apc
169.0,263.90000000000003,220719,250,18,apc
153.4,157.3,220719,160,27,apc
86.45,257.40000000000003,221124,330,7,apc
44.85,174.85,220901,200,31,wt
454.35,35.1,220901,320,31,wt
115.05,268.45,220901,180,35,wt
39.0,275.6,220901,120,46,wt
128.70000000000002,354.25,220901,170,46,wt
140.4,184.6,220901,260,49,wt
171.6,169.65,220901,270,49,wt
123.5,353.6,220901,150,53,wt
221.65,218.4,220901,150,53,wt
85.8,343.85,220901,180,53,wt
237.9,444.6,220719,50,4,wt
292.5,569.4,220719,110,4,wt
68.9,362.7,220719,80,5,wt
226.20000000000002,231.4,220719,80,6,wt
323.7,354.90000000000003,220719,200,7,wt
462.8,325.0,220719,225,9,wt
165.1,335.40000000000003,220719,110,16,wt
594.1,322.40000000000003,220719,268,17,wt
188.5,219.70000000000002,220719,200,22,wt
282.1,156.0,220719,220,22,wt
100.10000000000001,269.1,221124,350,26,wt
118.3,278.85,221124,230,29,wt
198.9,245.05,221124,300,37,wt
